ref,Jiangsu,Jiangxi,Shanghai,Zhejiang,Shandong,Anhui,Guangdong,Beijing,Inner Mongolia,Heilongjiang,Jilin,Gansu,Shanxi,Henan,Hunan,Hubei,Chongqing,Yunnan,Sichuan
1,0.026340546,1,0.00156789,0.052994669,0.257133898,0.038570085,0.085188669,0,0.039510818,0.301766489,0.110065851,0.1661963,0.163060521,0.114142364,0.820215324,0.220445281,0.071913871,0.116441936,0.415699801
1,0,0.244462256,0.00029146,0.014172253,0.110426989,0.008743806,0.03042116,7.29E-05,0.08117167,1,0.10423346,0.033663655,0.046232877,0.031659866,0.221072574,0.079787234,0.011294083,0.029255319,0.086600117
1,0,0.8,0,0.1,1,0,0.3,0,0,0.15,0.05,0.1,0.15,0,0.9,0.05,0.15,0.05,0.45
1,0.013390392,0.492821645,0,1,0.31198233,0.134594147,0.299558255,0,0.003451132,0.237575925,0.130176698,0.026780784,0.170485919,0.018774158,0.391082275,0.177802319,0.009110988,0.097598012,0.199337383
1,0.016975984,0.172046903,0,0.41062948,0.291554965,0.082274655,0.229923552,0,0.012688235,1,0.117797736,0.024234927,0.074065088,0.03342296,0.15334866,0.060231332,0.003050745,0.029552849,0.192503202
1,0.016601563,0.870442708,0,0.420247396,1,0.015625,0.16796875,0.001953125,0.026041667,0.607096354,0.130208333,0.051106771,0.110351563,0.008463542,0.700846354,0.085286458,0.04296875,0.062825521,0.8828125
1,0.325221173,0.849803402,0,0.444245033,0.719564505,0.810096512,0.54442078,0.022780078,0.740423282,0.976259271,0.921956451,1,0.749381907,0.825794585,0.817215752,0.669420482,0.681026779,0.888676238,0.830366983
1,0.531255827,0.869452732,0.005454037,0.318548387,0.734663435,0.846284729,0.599743614,0,0.770720679,1,0.968436976,0.967881783,0.879894649,0.924110339,0.792632389,0.84486295,0.836984897,0.87663155,0.878589409
1,0,0.877766412,0.743713336,0.748650799,0.770764743,0.912464812,0.51110209,0.800834013,0.960051798,0.993821547,1,0.979975249,0.950381709,0.78514998,0.919904043,0.903741489,0.856024083,0.959464235,0.874831562
1,0.087653789,0.203356789,0.22789985,0.149011441,0.105184546,0.600612525,0.326247401,1,0.097295705,0.005259227,0.098172243,0.066792187,0.743630199,0.04557997,0.322040019,0.007012303,0,0.338694239,0.102192046
1,0.133829416,0.605289646,0.985316305,0.624183629,0.051423274,0.931015722,0.063936954,0,1,0.853242571,0.750253726,0.866128732,0.646722901,0.019155557,0.503573095,0.459358789,0.998248503,0.849704003,0.417747663
1,0.622427976,0.967661613,0.315280459,0.545691316,0.791876394,0.927159856,0.487255501,0,0.834091992,0.875443824,0.866440834,0.981413913,0.859646479,0.877487287,0.953182602,0.828832438,0.303998193,1,0.858973452
1,0.852422329,0.955199636,0.654773663,0.73383313,0.644232401,0.886681431,0.499290046,0.296370749,0.725917169,0,0.316582038,0.500237178,0.787344266,0.66267961,0.918305218,0.849787014,0.820798543,1,0.628420508
