Year,Events,total loss,eco_loss,CPI（2019=100）%,Maxpoint
2006,台风珍珠,84.6,120.3072,70.32,425.3
2006,强降雨,72.8,103.5267,70.32,513
2006,强降雨,1.65,2.3464,70.32,196.7
2006,强降雨,67.7,96.2742,70.32,441
2006,强热带风暴碧利斯,351,499.1468,70.32,634
2006,台风格美,61.8,87.884,70.32,483
2006,台风派比安,72.6,103.2423,70.32,568
2006,台风桑美,195,277.3038,70.32,606
2007,强降雨,154.9,210.2049,73.69,370
2007,强降雨,31.3,42.4752,73.69,408
2007,强降雨,13.2,17.9129,73.69,151
2007,特大山洪灾害,10.46,14.1946,73.69,350
2007,特大山洪灾害,38.48,52.2188,73.69,356
2007,台风圣帕,86.47,117.3429,73.69,509
2007,台风韦帕,83.38,113.1497,73.69,288
2007,台风罗莎,96.83,131.4018,73.69,366.8
2008,强热带风暴浣熊,7.89,10.1102,78.04,469
2008,强降雨,37.88,48.5392,78.04,323
2008,强降雨,251.61,322.4116,78.04,837
2008,台风凤凰,77.95,99.8847,78.04,762
2008,台风黑格比,133.3,170.8098,78.04,546
2008,强降雨,24.84,31.8298,78.04,544.5
2008,秋汛,18.6,23.8339,78.04,494
2009,强降雨,38.24,49.3483,77.49,250
2009,强降雨,35.63,45.9801,77.49,983
2009,强降雨,60.86,78.5392,77.49,578
2009,强降雨,16,20.6478,77.49,412
2009,热带风暴天鹅,14.28,18.4282,77.49,836
2009,台风莫拉克,128.23,165.4794,77.49,1240
2009,强降雨,48.81,62.9888,77.49,241
2009,强降雨,17.33,22.3642,77.49,345
2010,强降雨,146.45,182.971,80.04,989
2010,强降雨,422,527.2364,80.04,746
2010,强降雨,576.27,719.9775,80.04,725
2010,强降雨,251.7,314.4678,80.04,722
2010,强降雨,629.52,786.5067,80.04,574
2010,台风凡亚比,60.86,76.037,80.04,842
2010,强降雨,91.4,114.1929,80.04,1426
2010,强降雨,1,1.2494,80.04,248
2010,强降雨,190,237.3813,80.04,328
2010,强降雨,47.6,59.4703,80.04,240
2010,强降雨,36.17,45.1899,80.04,262
2011,6月长江中下游洪涝,249,295.1986,84.35,958
2011,秋汛,252.7,299.5851,84.35,622
2011,6月浙江洪涝,117,138.7078,84.35,465
2011,7月四川洪涝,46,54.5347,84.35,202
2011,7月辽河洪涝,26,30.8239,84.35,178
2011,9号台风,63,74.6888,84.35,626
2011,17号台风,106,125.6669,84.35,709
2012,3月春汛,88.91,102.7267,86.55,431
2012,甘肃山洪泥石流,86,99.3645,86.55,236
2012,四川山洪泥石流,2.2,2.5419,86.55,75
2012,7月沐河洪涝,9.97,11.5194,86.55,464
2012,7月长江流域洪涝,202,233.3911,86.55,700
2012,7-8黄河流域洪涝,157.1,181.5136,86.55,232
2012,7月京津冀洪涝,331,382.4379,86.55,541
2012,8月台风,31.05,35.8752,86.55,792
2012,8-9月四川洪涝,84.36,97.4697,86.55,397
2013,5月广东,33.58,37.8153,88.8,417
2013,7月四川洪涝,203.09,228.705,88.8,1129
2013,7月陕西洪涝,9.46,10.6532,88.8,463
2013,11号台风,167.06,188.1306,88.8,1032
2013,8月辽宁暴雨山洪,112.79,127.0158,88.8,456
2013,黑龙江洪涝,327.47,368.7725,88.8,427.7
2013,19号台风,262.05,295.1014,88.8,647
2013,23号台风,624.51,703.277,88.8,743
2014,5月广东山洪,47.54,52.484,90.58,630
2014,7月云南山洪,6.13,6.7675,90.58,605.8
2014,7月贵州洪水,20.5,22.6319,90.58,202
2014,7月湖南洪水,7.9,8.7216,90.58,536
2014,9号台风,119.52,131.9497,90.58,709
2014,9月重庆山洪,39.07,43.1331,90.58,441.1
2015,5月江西福建等省洪涝,52.5,57.1584,91.85,470
2015,6月流域暴雨,143.26,155.9717,91.85,476
2015,7月福建山洪,44.89,48.8732,91.85,404
2015,13号台风,264.8,288.2961,91.85,757
2015,8月四川重庆贵州洪水,15.4,16.7665,91.85,591
2016,6月安徽等省洪水,74.01,79.003,93.68,402
2016,7月长江流域洪涝,494.99,528.3839,93.68,874
2016,1号台风,99.94,106.6823,93.68,330
2016,7月华北洪涝,502.17,536.0482,93.68,783
2016,14号台风,222.68,237.7028,93.68,508
2017,6月长江中下游洪涝,586.6,616.3059,95.18,830
2017,7月东北洪涝,356.81,374.8792,95.18,409
2017,7月陕西暴雨,17.24,18.113,95.18,272
2017,双台风,10.8,11.3469,95.18,598
2017,8月泥石流,3.3,3.4671,95.18,254
2017,13号台风,281.05,295.2826,95.18,432
2018,4号热带风暴,53.12,54.6615,97.18,852
2018,7月甘肃洪涝,17.76,18.2754,97.18,220
2018,7月内蒙古洪涝,54.38,55.958,97.18,175
2018,7月新疆暴雨洪涝,1.75,1.8008,97.18,116
2018,8号热带风暴,323.85,333.2476,97.18,494
2018,长江上游洪涝,70,72.0313,97.18,885
